,index,jian_flag_all,pred_label,問題なしの確率（0）,問題ありの確率（1）,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,20_p_num,ID,flag1（前後重複70%以上）,flag2（欠測有無）,flag3（保護者不同意）,flag4（デスクトップPC実施）,flag5（特支学級）,flag6（IAT誤答率20%以上）,SchoolNumber,SchoolClass,PersonalNumber,StudentAge,IAT_pattern,IAT_po,IAT_ne,IAT,IAT1_error,IAT2_error,IAT_Q1,IAT_Q2,IAT_Q3,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,ss1,ss2,ss3,ss4,ss5,ss6,cu1,cu2,cu3,cu4,cu5,cu6,cu7,md1,md2,md3,md4,md5,md6,md7,md8,md9,md10,md11,cd1,cd2,cd3,cd4,cd5,cd6,cd7,cd8,cd9,cd10,cd11,ab1,ab2,ab3,ab4,ab5,ab6,ab7,ab8,pr1,pr2,pr3,pr5,pr6,pr7,pr9,pr10,pr11,pr13,pr14,pr15,pr17,pr18,pr19,pr4,pr8,pr12,pr16,tl1,tl4,tl6,tl8,tl9,tl11,tl13,tl15,tl17,tl2,tl3,tl5,tl7,tl10,tl12,tl14,tl16,fr1,fr3,fr5,fr7,fr9,fr2,fr4,fr6,fr8,ce1,ce2,ce3,ce4,ce5,ce6,ps1,ps2,ps3,ps4,ps5,ps6,ps7,ps8,ps9,ps10,self_control,sensation_seeking,callous_unemotional,moral_disengagement,cognitive_distortion,aggression_belief,acceptance,psychological_control,monitoring,family_violence,goal_achievement,group_maintenance,good_friendship,bad_friendship,informal_control,social_cohesion,self_control_after,sensation_seeking_after,callous_unemotional_after,moral_disengagement_after,cognitive_distortion_after,aggression_belief_after,acceptance_after,psychological_control_after,monitoring_after,family_violence_after,goal_achievement_after,group_maintenance_after,good_friendship_after,bad_friendship_after,informal_control_after,social_cohesion_after,season,mondai,hutoukou,ijime,mondai_after,hutoukou_after,ijime_after,jian_flag_half,cluster,cluster_replace,cluster_after,cluster_after_replace,cluster_naimen,cluster_naimen_replace,cluster_naimen_after,cluster_naimen_after_replace,StudentGender_1,StudentGender_2,SchoolGrade_4,SchoolGrade_5,SchoolGrade_6,SchoolGrade_7,SchoolGrade_8,SchoolGrade_9,gakku_1,gakku_10,gakku_11,gakku_12,gakku_13,gakku_14,gakku_15,gakku_16,gakku_17,gakku_18,gakku_19,gakku_2,gakku_20,gakku_21,gakku_22,gakku_3,gakku_4,gakku_5,gakku_6,gakku_7,gakku_8,gakku_9,jian_flag_all
3522,3522,0,0.0,0.7655769207958014,0.23442307920419858,29989,29989,29989,s25_5121,33472,0,0,0,0,0,0,s25,1,21,11,1,7.070274208,7.032918422000001,-0.037355787,0.0,5.555555556,4,4,4,1,1,1,3,4,1,2,1,3,1,1,2,1,1,4,3,3,4,4,4,4,5,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,4,4,3,4,4,4,4,4,4,4,4,3,3,4,2,3,1,4,2,1,3,3,4,1,1,1,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3,3,3,3,4,4,3,4,4,2,1,1,2,3,2,4,3,2,3,4,1,4,3,2,1,2,1,3,2,11,9,9,17,12,9,8,13,5,7,13,10,6,6,6,7,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,7,4,,,9,5,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3552,3552,0,0.0,0.8383268910537154,0.16167310894628453,30782,30782,30782,s27_6314,34307,0,0,0,0,0,0,s27,3,14,11,3,6.998269287,6.812445099,-0.185824187,10.52631579,0.0,4,3,4,1,2,1,1,3,1,1,2,3,1,1,4,2,1,4,3,3,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,3,3,2,1,2,1,2,2,4,3,4,2,1,2,2,4,3,4,3,4,3,4,3,3,3,3,4,4,3,3,3,3,4,4,4,4,4,1,1,1,1,2,4,4,3,4,4,4,1,3,2,1,1,2,2,2,3,11,12,10,11,11,9,8,10,4,7,14,14,5,4,5,4,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,7,4,,,9,5,,,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3553,3553,0,0.0,0.742643153363072,0.25735684663692804,13702,13702,13702,s30_5106,15296,0,0,0,0,0,0,s30,1,6,10,3,7.052336508,6.665193642,-0.38714286600000003,11.11111111,3.8461538460000004,4,4,4,1,2,1,4,3,3,4,3,1,1,1,1,4,1,4,4,4,4,4,4,3,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,3,4,4,4,3,1,1,1,1,1,1,1,1,4,1,4,1,1,2,3,4,4,2,1,4,1,4,1,1,4,4,1,4,3,3,4,3,4,3,4,1,1,1,1,1,1,4,4,3,3,4,1,4,3,4,4,1,4,4,1,20,9,8,14,11,8,8,6,9,7,19,20,7,4,9,5,26.0,11.0,11.0,11.0,15.0,10.0,8.0,6.0,3.0,7.0,22.0,34.0,6.0,4.0,7.0,7.0,1,0,0,0,0.0,0.0,0.0,0,7,4,7.0,4.0,2,3,4.0,7.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3555,3555,0,0.0,0.7857389267862424,0.21426107321375762,30717,30717,30717,s27_6116,34242,0,0,0,0,0,0,s27,1,16,12,3,7.090076836000001,6.9275579060000005,-0.162518929,5.882352941000001,5.0,4,3,4,1,2,1,3,3,1,3,3,2,2,1,1,2,1,4,3,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,4,4,4,3,4,1,1,1,1,4,4,4,4,3,4,4,4,4,4,4,2,4,2,4,1,4,4,4,4,4,4,1,1,1,1,3,4,4,4,4,4,4,1,4,3,2,2,4,2,3,1,16,9,8,11,11,8,6,12,4,4,15,10,5,4,4,3,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,1,3,,,2,3,,,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3556,3556,0,0.0,0.7669733473055614,0.23302665269443854,14686,14686,14686,s36_4131,16489,0,0,0,0,0,0,s36,1,31,9,1,7.195437351,6.998269287,-0.197168065,0.0,10.52631579,3,3,3,2,2,1,2,3,1,2,2,1,2,2,3,2,1,3,3,3,2,3,3,3,5,4,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,2,1,1,1,4,3,4,4,4,3,4,4,4,3,4,4,4,4,2,2,1,1,2,1,3,3,3,1,1,1,1,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,2,1,1,2,4,2,4,3,3,3,3,3,2,3,2,3,3,2,2,2,14,11,15,19,14,10,7,9,6,4,16,14,7,6,5,6,17.0,13.0,13.0,18.0,13.0,10.0,9.0,7.0,7.0,4.0,16.0,15.0,9.0,7.0,7.0,6.0,1,0,0,0,0.0,0.0,0.0,0,2,5,2.0,5.0,7,6,7.0,6.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3557,3557,0,0.0,0.774370568293397,0.22562943170660305,20332,20332,20332,c15_9230,22660,0,0,0,0,0,1,c15,2,30,15,4,7.5319095879999995,6.812445099,-0.719464489,0.0,50.0,4,3,4,1,2,1,2,4,1,2,3,4,2,3,3,3,1,4,4,3,3,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,3,2,3,3,3,1,1,1,1,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,3,4,4,3,4,2,1,2,1,2,3,3,3,2,2,4,2,3,3,4,2,3,2,1,3,13,16,11,11,11,8,6,9,6,4,10,10,7,6,7,8,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,2,5,,,6,2,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3568,3568,0,0.0,0.715496205253105,0.2845037947468949,16045,16045,16045,s43_6122,17938,0,0,0,0,0,0,s43,1,22,11,3,7.013115795,6.767993337,-0.24512245800000002,0.0,0.0,4,4,4,2,3,1,2,3,1,2,3,2,1,2,2,3,1,3,3,3,3,4,4,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,1,1,1,1,1,3,3,3,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,1,1,3,1,1,2,4,3,3,4,3,2,2,2,3,2,3,3,1,2,16,11,12,14,11,8,7,6,6,4,9,9,8,6,8,5,15.0,11.0,14.0,11.0,12.0,8.0,11.0,8.0,6.0,4.0,16.0,15.0,9.0,5.0,8.0,6.0,1,0,0,0,0.0,0.0,0.0,0,2,5,2.0,5.0,2,3,2.0,3.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3569,3569,0,0.0,0.7265801907297045,0.27341980927029547,33542,33542,33542,s42_5117,37431,0,0,0,0,0,0,s42,1,17,11,1,7.28423285,7.017317481,-0.26691536899999996,7.142857143,15.78947368,3,4,4,2,1,1,3,2,1,1,3,4,2,2,4,3,1,4,4,2,3,3,3,3,1,2,1,1,1,3,2,1,3,1,1,2,1,1,4,1,1,1,3,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,3,1,4,3,4,1,1,1,1,3,4,4,4,4,4,1,4,3,3,3,4,4,4,3,3,3,4,4,4,3,4,1,1,1,1,2,3,3,4,2,3,4,1,4,4,2,4,2,2,2,2,15,16,13,17,22,8,6,8,4,4,13,14,6,4,7,6,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,6,2,,,9,5,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3570,3570,0,0.0,0.7295155161294578,0.2704844838705422,34393,34393,34393,s46_4311,38328,0,0,0,0,0,0,s46,3,11,9,1,7.264430223,7.264430223,0.0,0.0,0.0,4,4,4,1,1,2,4,2,2,3,3,2,1,1,2,2,1,4,4,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,1,1,4,1,3,2,3,2,1,1,1,4,4,4,2,3,3,4,3,2,3,3,3,4,3,2,3,1,3,3,3,4,4,2,2,1,1,4,4,4,4,4,4,4,2,3,2,4,4,1,3,1,4,19,9,17,11,14,8,6,10,7,5,18,16,8,6,3,3,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,2,5,,,2,3,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3581,3581,0,0.0,0.7075776730275667,0.2924223269724332,17137,17137,17137,s6_6223,19110,0,0,0,0,0,0,s6,2,23,12,2,7.264430223,6.959048573,-0.30538165,0.0,0.0,4,4,4,1,2,1,1,2,1,1,1,4,2,3,3,3,1,3,3,3,4,4,4,4,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,3,1,3,2,4,1,1,1,1,3,3,3,3,4,3,1,4,2,3,4,4,4,3,3,3,4,4,4,4,4,4,1,1,1,1,3,3,3,3,3,4,4,1,3,4,1,1,2,1,2,3,11,16,10,14,12,8,6,10,6,4,12,19,5,4,6,5,15.0,17.0,12.0,21.0,19.0,10.0,7.0,11.0,5.0,5.0,15.0,22.0,5.0,4.0,5.0,4.0,1,0,0,0,0.0,0.0,0.0,0,7,4,7.0,4.0,6,2,7.0,6.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3589,3589,0,0.0,0.7853232701861638,0.2146767298138363,18474,18474,18474,c10_8622,20587,0,0,0,0,0,0,c10,6,22,14,4,6.9275579060000005,7.071384703,0.143826796,16.66666667,5.0,4,3,4,2,3,1,3,4,1,3,3,3,2,4,4,3,1,4,4,3,3,3,3,3,1,1,1,1,1,1,2,2,1,1,1,1,1,1,3,1,1,2,4,1,1,2,3,4,4,4,4,4,4,4,3,2,3,2,4,2,2,4,4,4,4,3,3,2,4,2,3,2,3,2,2,2,3,2,1,3,2,2,4,4,3,4,3,4,4,3,4,4,4,2,4,2,2,2,1,2,3,3,2,4,2,3,2,3,2,4,4,4,3,2,2,17,17,12,13,18,9,14,21,6,10,11,26,7,7,7,7,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,8,9,,,9,5,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3595,3595,0,0.0,0.7150720873419046,0.2849279126580954,35173,35173,35173,s8_4122,39171,0,0,0,0,0,0,s8,1,22,10,3,7.303650936,7.13089883,-0.17275210600000002,14.28571429,0.0,4,4,4,2,2,1,2,4,1,2,2,4,2,2,4,3,2,4,3,3,3,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,2,1,1,2,3,4,3,4,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,2,4,2,4,4,2,4,4,3,4,4,1,1,1,1,3,3,4,4,4,4,3,1,4,4,2,1,1,3,1,3,13,17,11,11,11,8,7,10,4,4,14,11,6,4,5,3,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,6,2,,,6,2,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3604,3604,0,0.0,0.7301155255654899,0.2698844744345101,33302,33302,33302,s41_5320,37181,0,0,0,0,0,0,s41,3,20,11,3,7.070274208,6.878767742000001,-0.19150646600000001,0.0,4.7619047619999995,4,4,3,4,3,1,3,3,1,2,2,4,3,2,3,4,1,4,4,3,3,4,4,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,4,4,4,4,4,4,4,3,2,1,3,4,1,1,1,1,1,1,1,2,1,3,1,1,1,1,4,4,4,3,4,3,4,4,3,4,2,4,3,3,4,4,3,4,4,4,4,4,1,1,1,1,2,2,4,3,3,3,3,1,2,3,4,3,4,3,2,3,18,17,10,12,12,8,16,6,9,4,13,12,5,4,7,6,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,4,6,,,1,4,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3605,3605,0,0.0,0.7201215434190837,0.2798784565809163,9140,9140,9140,s11_5238,10365,0,0,0,0,0,0,s11,2,38,10,4,7.377758908,6.832247726,-0.545511182,4.545454545,15.38461538,4,4,4,2,2,1,3,3,2,2,3,1,1,2,3,4,1,4,3,4,4,4,4,4,5,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,1,2,2,1,2,1,4,4,3,1,1,1,1,4,4,4,4,3,4,3,4,3,4,4,3,3,3,3,4,4,4,4,4,4,4,1,1,1,2,3,4,4,4,4,4,3,3,4,3,2,2,2,2,3,3,17,12,8,18,13,8,7,9,4,4,12,12,5,5,4,3,13.0,10.0,9.0,12.0,11.0,8.0,6.0,9.0,5.0,4.0,11.0,10.0,5.0,5.0,3.0,3.0,1,0,0,0,0.0,0.0,0.0,0,6,2,1.0,3.0,2,3,8.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3610,3610,0,0.0,0.704261900442092,0.29573809955790786,5140,5140,5140,c22_7623,5673,0,0,0,0,0,0,c22,6,23,12,2,6.959048573,6.725433722000001,-0.233614851,0.0,0.0,4,4,3,3,3,2,2,3,2,2,2,2,2,3,3,1,2,3,3,2,2,2,3,2,4,4,1,1,1,2,1,4,1,1,1,1,2,1,1,1,1,1,4,1,1,1,3,3,4,4,3,3,4,4,4,4,4,4,4,4,1,1,1,1,3,1,3,3,4,1,1,1,2,3,4,4,4,3,4,3,4,4,2,3,3,4,2,2,2,2,2,3,3,2,3,1,1,1,1,3,3,4,2,2,3,4,2,2,2,3,3,3,2,1,3,18,13,18,21,15,12,6,8,5,5,20,12,12,4,5,8,20.0,13.0,16.0,25.0,22.0,9.0,6.0,10.0,5.0,4.0,21.0,13.0,13.0,4.0,4.0,7.0,1,0,0,0,0.0,0.0,0.0,0,2,5,2.0,5.0,7,6,7.0,6.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3617,3617,0,0.0,0.7911267200361812,0.20887327996381888,9444,9444,9444,s12_5305,10690,0,0,0,0,0,0,s12,3,5,10,1,7.215239979,6.966024187,-0.249215792,6.666666667,15.0,4,4,4,1,1,1,2,4,1,1,1,4,2,1,1,3,1,4,3,3,4,3,4,3,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,3,3,4,3,3,1,1,2,1,1,1,4,3,4,1,2,1,1,3,4,3,3,3,4,4,3,4,4,4,4,2,3,4,3,2,4,4,4,4,4,1,1,1,1,3,2,3,3,3,3,4,1,3,4,1,2,1,2,2,3,9,12,11,17,11,8,10,7,4,5,14,14,5,4,7,6,9.0,14.0,10.0,16.0,13.0,8.0,11.0,7.0,6.0,6.0,15.0,12.0,7.0,6.0,6.0,6.0,1,0,0,0,0.0,0.0,0.0,0,2,5,2.0,5.0,8,1,6.0,2.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3618,3618,0,0.0,0.7023224085370499,0.29767759146295025,35421,35421,35421,s9_5124,39437,0,0,0,0,0,0,s9,1,24,10,3,7.13089883,6.870714007,-0.260184823,0.0,13.63636364,4,3,4,3,3,2,3,3,2,3,3,3,2,2,4,3,1,3,3,3,2,2,3,3,1,2,2,1,1,3,3,2,2,1,1,4,2,2,3,2,2,2,4,2,2,3,3,3,3,3,4,3,3,3,4,4,4,4,3,4,2,2,1,2,2,2,3,4,4,1,2,1,1,3,3,4,4,4,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,1,3,4,4,3,3,3,4,1,3,3,4,3,1,3,3,2,21,15,16,19,28,15,7,11,4,5,17,14,10,6,4,6,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,2,5,,,5,8,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3619,3619,0,0.0,0.8544244928546887,0.1455755071453113,23531,23531,23531,c3_7127,26123,0,0,0,0,0,0,c3,1,27,12,1,6.878767742000001,6.745236349,-0.133531393,4.7619047619999995,4.166666667,4,4,3,2,2,1,2,3,2,2,3,2,1,1,1,3,1,4,4,3,3,3,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,3,4,4,4,3,4,1,1,1,2,1,1,3,3,4,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,1,1,2,4,4,4,3,3,3,4,1,3,2,3,3,2,2,1,2,16,9,11,12,11,8,8,7,5,5,8,9,6,5,3,6,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,6,2,,,2,3,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3621,3621,0,0.0,0.7418330905409076,0.2581669094590923,4917,4917,4917,c21_9411,5431,0,0,0,0,0,0,c21,4,11,14,2,7.013115795,6.627453313999999,-0.385662481,3.7037037039999996,0.0,4,2,4,2,3,3,2,2,2,3,3,2,2,3,3,3,2,3,3,2,2,2,3,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,3,4,2,1,4,1,1,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,2,1,1,1,3,1,4,4,3,1,1,1,1,4,4,4,4,4,4,4,4,3,3,4,3,4,4,3,3,4,3,4,4,3,4,1,1,1,1,3,3,3,4,4,4,4,2,2,2,2,2,4,2,2,3,21,15,18,13,24,9,6,9,4,4,12,10,7,4,6,3,21.0,16.0,19.0,29.0,35.0,11.0,6.0,7.0,6.0,4.0,8.0,9.0,7.0,4.0,6.0,5.0,1,0,0,0,0.0,0.0,0.0,0,6,2,6.0,2.0,9,5,4.0,7.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3624,3624,0,0.0,0.8361461049829881,0.1638538950170118,31214,31214,31214,s29_6332,34765,0,0,0,0,0,0,s29,3,32,12,3,7.189167737999999,6.959048573,-0.230119165,18.75,0.0,4,4,4,2,3,2,2,4,2,2,3,2,3,2,3,4,1,4,4,4,4,4,4,4,6,1,3,1,1,6,2,1,1,1,1,6,1,1,4,2,1,1,2,1,1,1,4,3,4,3,4,3,4,4,4,3,4,4,4,3,1,1,1,2,1,1,3,3,4,1,1,1,1,2,3,3,2,2,4,4,3,3,4,4,3,2,2,4,3,3,3,3,3,4,4,1,1,2,1,2,2,3,2,1,1,4,3,4,3,4,3,3,3,3,3,17,15,7,24,21,11,8,7,5,4,15,19,8,5,8,11,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,2,5,,,4,7,,,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3625,3625,0,0.0,0.7707705988419031,0.22922940115809695,15834,15834,15834,s42_5307,17717,0,0,0,0,0,0,s42,3,7,10,1,7.418580903,7.13089883,-0.287682072,0.0,0.0,4,4,4,1,2,1,2,4,1,2,1,4,3,3,2,3,2,4,3,3,2,4,4,3,1,1,1,1,1,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,3,4,4,1,1,1,1,1,1,4,4,4,1,1,1,2,3,2,4,3,3,2,4,3,3,3,4,4,4,3,4,4,3,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,1,3,4,3,4,3,2,1,4,11,17,12,17,11,8,7,6,3,5,11,18,5,4,6,3,13.0,18.0,14.0,16.0,21.0,8.0,8.0,11.0,3.0,7.0,14.0,22.0,5.0,4.0,4.0,6.0,1,0,0,0,0.0,0.0,0.0,0,6,2,7.0,4.0,1,4,9.0,5.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3631,3631,0,0.0,0.8447471231284677,0.15525287687153236,35486,35486,35486,s9_6211,39503,0,0,0,0,0,0,s9,2,11,12,2,7.215239979,6.812445099,-0.40279488,0.0,6.666666667,4,4,4,1,2,1,3,3,1,1,1,2,2,1,1,1,1,4,4,4,3,4,4,4,1,4,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,1,4,4,4,1,1,1,1,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,2,3,2,2,2,4,1,3,4,4,4,3,3,1,2,12,8,8,20,11,8,6,7,3,4,8,12,5,4,8,9,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,6,2,,,2,3,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3639,3639,0,0.0,0.8894488996348272,0.11055110036517286,23364,23364,23364,c22_9408,25946,0,0,0,0,0,0,c22,4,8,15,4,7.128543117,6.684611727999999,-0.443931389,7.692307692000001,17.64705882,3,3,3,1,3,1,2,4,1,3,1,3,2,1,3,2,1,4,4,3,4,4,4,4,1,4,5,1,1,1,2,2,1,1,1,1,1,1,3,1,1,1,1,1,2,2,4,4,4,4,4,4,4,4,4,3,4,1,4,3,1,1,1,1,1,1,4,4,4,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,1,1,1,1,4,4,4,4,3,3,3,1,4,3,3,4,4,4,1,1,13,12,8,20,15,8,11,6,3,4,10,9,5,4,3,5,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,2,5,,,9,5,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3640,3640,0,0.0,0.7406332174537351,0.259366782546265,20420,20420,20420,c16_7121,22756,0,0,0,0,0,0,c16,1,21,13,1,7.303650936,6.851665812,-0.45198512399999996,14.28571429,9.090909091,3,4,4,1,1,1,1,4,1,3,2,4,3,4,4,4,1,4,4,4,3,4,4,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,3,2,4,4,4,1,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,2,2,3,1,1,4,1,3,3,2,1,3,4,1,2,11,20,9,13,12,8,6,9,3,6,8,9,5,4,10,10,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,7,4,,,6,2,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3642,3642,0,0.0,0.7118270938540843,0.28817290614591573,26209,26209,26209,c9_9303,29340,0,0,0,0,0,0,c9,3,3,15,1,7.13089883,6.959048573,-0.171850257,0.0,0.0,4,4,4,2,3,1,3,2,1,3,2,4,1,4,4,3,1,4,3,3,3,4,3,3,1,3,2,1,1,4,3,2,3,1,1,3,2,1,4,2,1,1,1,2,1,2,3,3,4,4,3,4,3,4,4,4,4,4,4,4,1,1,1,1,2,1,3,3,4,1,3,2,1,3,4,3,4,4,3,4,4,4,3,3,3,4,3,3,3,4,2,4,2,4,4,2,2,1,1,2,1,3,2,2,2,4,2,3,2,2,1,3,2,2,2,18,17,12,22,20,12,6,7,5,7,14,12,9,6,9,9,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,9,7,,,4,7,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
